Country,Year,Sex,Age group,Sum of Obesity (Prevalence of BMI>2SD),Sum of Overweight (Prevalence of BMI>1SD),Sum of Underweight (Prevalence of BMI<minus1SD),Sum of GDP per Capita,Sum of Government Expenditure,Sum of Death due to illness / nutrition condition,Sum of Population
China,2008,Girls,16,0.010396825,0.088658058,0.184379734,,,126.73211005623116,28145415570.313015
China,2008,Boys,17,0.02345491,0.122943856,0.247780203,,,126.73211005623116,28145415570.313015
China,2008,Girls,17,0.010010616,0.08470877,0.178496156,,,126.73211005623116,28145415570.313015
China,2008,Boys,18,0.021589072,0.117340475,0.247132736,,,126.73211005623116,28145415570.313015
China,2008,Girls,18,0.010932182,0.084789507,0.182342257,,,126.73211005623116,28145415570.313015
China,2008,Boys,19,0.022255347,0.145981048,0.235143582,,,126.73211005623116,28145415570.313015
China,2008,Girls,19,0.010537568,0.086600924,0.191069546,,,126.73211005623116,28145415570.313015
China,2009,Boys,5,0.12235747,0.267725241,0.147383046,,,126.73211005623116,28145415570.313015
China,2009,Girls,5,0.068373315,0.175250928,0.189012759,,,126.73211005623116,28145415570.313015
China,2009,Boys,6,0.130184245,0.264958858,0.161935591,,,126.73211005623116,28145415570.313015
China,2009,Girls,6,0.068295942,0.174211913,0.194877394,,,126.73211005623116,28145415570.313015
China,2009,Boys,7,0.134495237,0.272366161,0.174392427,,,126.73211005623116,28145415570.313015
China,2009,Girls,7,0.066331957,0.175374016,0.213137617,,,126.73211005623116,28145415570.313015
China,2009,Boys,8,0.134063855,0.282985586,0.185327918,,,126.73211005623116,28145415570.313015
China,2009,Girls,8,0.061972646,0.175752297,0.238249721,,,126.73211005623116,28145415570.313015
China,2009,Boys,9,0.12795156,0.290146081,0.195395503,,,126.73211005623116,28145415570.313015
China,2009,Girls,9,0.055229584,0.17294134,0.262476523,,,126.73211005623116,28145415570.313015
China,2009,Boys,10,0.115902063,0.286754359,0.205246364,,,126.73211005623116,28145415570.313015
China,2009,Girls,10,0.046647102,0.16528504,0.275433844,,,126.73211005623116,28145415570.313015
China,2009,Boys,11,0.099552395,0.271053473,0.21486651,,,126.73211005623116,28145415570.313015
China,2009,Girls,11,0.037491962,0.153485782,0.272633753,,,126.73211005623116,28145415570.313015
China,2009,Boys,12,0.081803814,0.247230381,0.223565765,,,126.73211005623116,28145415570.313015
China,2009,Girls,12,0.029126503,0.139803275,0.257922453,,,126.73211005623116,28145415570.313015
